Elecció;Any;% CUP;NUM_ELECTORS;% VOX;% PSC;VOTS_CANDIDATURES;PP;Junts;% Aliança;CDIS;% PACMA;% Cs;Participació;CUP;ERC;CSEC;% Comuns;Districte;VOX;PSC;Cs;% ERC;% Junts;% PP;Secció;Comuns;Aliança;PACMA;CUSEC;Altres;% Altres
Parlament;2024;1.52%;1729;14.68%;34.62%;988;105;75;2.63%;4;1.52%;1.92%;57.14%;15;129;22;6.17%;4;145;342;19;13.06%;7.59%;10.63%;22;61;26;15;827904022;56;5.67%
Parlament;2024;3.22%;952;8.20%;23.47%;622;57;158;2.41%;5;1.77%;0.48%;65.34%;20;103;26;5.47%;5;51;146;3;16.56%;25.40%;9.16%;26;34;15;11;827905026;24;3.86%
Parlament;2024;5.52%;1421;5.10%;16.88%;942;76;345;6.48%;1;0.32%;0.42%;66.29%;52;131;7;3.61%;1;48;159;4;13.91%;36.62%;8.07%;7;34;61;3;827901007;29;3.08%
Parlament;2024;2.78%;1052;13.57%;24.87%;575;68;97;2.61%;7;1.57%;1.22%;54.66%;16;85;1;7.48%;7;78;143;7;14.78%;16.87%;11.83%;1;43;15;9;827907001;14;2.43%
Parlament;2024;3.12%;872;15.58%;36.62%;385;42;25;2.08%;6;1.82%;1.30%;44.15%;12;43;4;6.23%;6;60;141;5;11.17%;6.49%;10.91%;4;24;8;7;827906004;18;4.68%
Parlament;2024;3.00%;594;19.52%;34.23%;333;28;21;2.10%;6;1.20%;1.20%;56.06%;10;41;30;8.41%;6;65;114;4;12.31%;6.31%;8.41%;30;28;7;4;827906030;11;3.30%
Parlament;2024;1.01%;1017;21.57%;39.92%;496;70;18;0.81%;6;1.61%;1.61%;48.77%;5;46;23;3.43%;6;107;198;8;9.27%;3.63%;14.11%;23;17;4;8;827906023;15;3.02%
Parlament;2024;0.00%;558;28.57%;41.71%;175;14;4;0.00%;2;0.57%;3.43%;31.36%;0;16;15;4.57%;2;50;73;6;9.14%;2.29%;8.00%;15;8;0;1;827902015;3;1.71%
Parlament;2024;4.09%;900;13.23%;32.49%;514;55;77;1.95%;4;0.97%;0.78%;57.11%;21;65;19;5.25%;4;68;167;4;12.65%;14.98%;10.70%;19;27;10;5;827904019;15;2.92%
Parlament;2024;1.92%;1884;17.66%;31.96%;1042;120;84;2.88%;4;1.15%;1.54%;55.31%;20;144;24;6.72%;4;184;333;16;13.82%;8.06%;11.52%;24;70;30;12;827904024;29;2.78%
Parlament;2024;5.71%;1175;4.52%;20.05%;753;64;248;3.45%;4;0.53%;0.27%;64.09%;43;115;26;5.98%;4;34;151;2;15.27%;32.93%;8.50%;26;45;26;4;827904026;21;2.79%
