Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU / Junts;% CiU / Junts;ERC;% ERC;PP;% PP;ICV / Comuns;% ICV / Comuns;Cs;% Cs;CUP;% CUP;PxC;% PxC;En Blanco;% En Blanco;PRIMARIES;% PRIMARIES;TxT;% TxT;VOX;% VOX;Podem;% Podem;PACMA;% PACMA;Altres;% Altres
Municipals;2015;5;11;08279805011;1478;858;19;3;836;57,85%;260;0.311;89;0.1065;122;0.1459;53;0.0634;151;0.1806;87;0.1041;47;0.0562;13;0.0156;;;0;0;0;0;0;0;0;0;0;0;14;0.0167
Municipals;2015;5;12;08279805012;590;336;8;0;328;56,95%;119;0.3628;26;0.0793;37;0.1128;20;0.061;76;0.2317;26;0.0793;18;0.0549;3;0.0091;;;0;0;0;0;0;0;0;0;0;0;3;0.0091
Municipals;2015;5;13;08279805013;1015;508;7;1;500;49,95%;154;0.308;17;0.034;47;0.094;27;0.054;140;0.28;76;0.152;21;0.042;12;0.024;;;0;0;0;0;0;0;0;0;0;0;6;0.012
Municipals;2015;5;14;08279805014;1590;869;8;7;854;54,21%;339;0.397;40;0.0468;77;0.0902;59;0.0691;180;0.2108;104;0.1218;33;0.0386;9;0.0105;;;0;0;0;0;0;0;0;0;0;0;13;0.0152
Municipals;2015;5;15;08279805015;1466;667;4;3;660;45,29%;266;0.403;32;0.0485;63;0.0955;42;0.0636;149;0.2258;64;0.097;28;0.0424;10;0.0152;;;0;0;0;0;0;0;0;0;0;0;6;0.0091
Municipals;2015;5;16;08279805016;1909;943;11;2;930;49,29%;299;0.3215;66;0.071;70;0.0753;61;0.0656;263;0.2828;107;0.1151;28;0.0301;22;0.0237;;;0;0;0;0;0;0;0;0;0;0;14;0.0151
Municipals;2015;5;17;08279805017;1281;732;18;2;712;56,99%;210;0.2949;65;0.0913;99;0.139;26;0.0365;145;0.2037;99;0.139;40;0.0562;11;0.0154;;;0;0;0;0;0;0;0;0;0;0;17;0.0239
Municipals;2015;5;18;08279805018;983;606;10;5;591;61,14%;224;0.379;25;0.0423;25;0.0423;54;0.0914;142;0.2403;77;0.1303;12;0.0203;18;0.0305;;;0;0;0;0;0;0;0;0;0;0;14;0.0237
Municipals;2015;5;19;08279805019;987;478;8;2;468;48,23%;122;0.2607;54;0.1154;73;0.156;16;0.0342;102;0.2179;56;0.1197;30;0.0641;4;0.0085;;;0;0;0;0;0;0;0;0;0;0;11;0.0235
Municipals;2015;5;20;08279805020;1179;653;9;1;643;55,30%;171;0.2659;85;0.1322;114;0.1773;30;0.0467;111;0.1726;53;0.0824;56;0.0871;5;0.0078;;;0;0;0;0;0;0;0;0;0;0;18;0.028
Municipals;2015;5;21;08279805021;1394;794;14;3;777;56,74%;236;0.3037;79;0.1017;96;0.1236;58;0.0746;171;0.2201;79;0.1017;38;0.0489;8;0.0103;;;0;0;0;0;0;0;0;0;0;0;12;0.0154
Municipals;2015;5;22;08279805022;533;286;1;0;285;53,66%;91;0.3193;20;0.0702;35;0.1228;21;0.0737;47;0.1649;34;0.1193;17;0.0596;10;0.0351;;;0;0;0;0;0;0;0;0;0;0;10;0.0351
Municipals;2015;5;23;08279805023;1282;725;12;1;712;56,47%;130;0.1826;148;0.2079;164;0.2303;25;0.0351;115;0.1615;61;0.0857;57;0.0801;5;0.007;;;0;0;0;0;0;0;0;0;0;0;7;0.0098
Municipals;2015;5;24;08279805024;1168;675;7;1;667;57,71%;161;0.2414;68;0.1019;86;0.1289;36;0.054;163;0.2444;85;0.1274;37;0.0555;13;0.0195;;;0;0;0;0;0;0;0;0;0;0;18;0.027
Municipals;2015;5;25;08279805025;874;457;7;4;446;51,83%;143;0.3206;38;0.0852;52;0.1166;22;0.0493;89;0.1996;68;0.1525;17;0.0381;14;0.0314;;;0;0;0;0;0;0;0;0;0;0;3;0.0067
