Elecció;Any;Districte;Secció;Junts;Participació;PP;PSC;% CUP;% PSC;% Junts;PACMA;% CECP;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CECP;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;% PP;Secció;CUP;Altres;% Altres
Parlament;2017;5;1;199;84.9;51;188;3;14.47;15.32;17;8.31;1.31;28.95;1295;4;108;376;1290;1294;1;310;5;1530;23.86;3.93;1;39;2;0.16
Parlament;2017;5;2;57;83.89;41;169;3.53;18.65;6.29;18;12.58;1.99;37.42;903;3;114;339;888;891;12;113;5;1080;12.47;4.53;2;32;5;0.56
Parlament;2017;5;3;254;82.11;38;131;3.3;10.81;20.96;18;8.91;1.49;22.94;1209;3;108;278;1204;1207;2;336;5;1476;27.72;3.14;3;40;1;0.08
Parlament;2017;5;4;204;86.29;44;136;4.68;13.26;19.88;7;9.36;0.68;21.54;1024;2;96;221;1018;1020;4;259;5;1189;25.24;4.29;4;48;3;0.29
Parlament;2017;5;5;132;82.5;27;75;5.58;11.96;21.05;6;11.16;0.96;16.43;623;4;70;103;615;619;4;166;5;760;26.48;4.31;5;35;1;0.16
Parlament;2017;5;6;364;85.63;38;171;3.56;12.69;27.02;6;6.53;0.45;20.64;1342;5;88;278;1331;1336;6;335;5;1573;24.87;2.82;6;48;3;0.23
Parlament;2017;5;7;205;90.73;17;100;5.36;12.77;26.18;4;6.51;0.51;17.11;779;4;51;134;772;776;3;218;5;863;27.84;2.17;7;42;1;0.13
Parlament;2017;5;8;287;84.97;34;155;3.82;12.87;23.84;8;5.32;0.66;21.76;1198;6;64;262;1186;1192;6;329;5;1417;27.33;2.82;8;46;1;0.08
Parlament;2017;5;9;203;88.54;40;218;4.01;18.21;16.96;10;7.94;0.84;26.15;1195;2;95;313;1191;1193;2;262;5;1352;21.89;3.34;9;48;2;0.17
Parlament;2017;5;10;86;80.56;64;251;1.7;22.51;7.71;10;8.34;0.9;39.55;1111;4;93;441;1098;1102;9;130;5;1384;11.66;5.74;10;19;4;0.36
Parlament;2017;5;11;211;86.65;55;203;3.13;15.87;16.5;12;9.54;0.94;25.72;1273;6;122;329;1258;1264;9;283;5;1476;22.13;4.3;11;40;3;0.24
Parlament;2017;5;12;61;81.33;15;84;3.65;18.03;13.09;4;8.15;0.86;26.82;463;3;38;125;459;462;1;114;5;573;24.46;3.22;12;17;1;0.22
Parlament;2017;5;13;81;79.64;35;193;3.25;20.91;8.78;9;10.4;0.98;35.32;921;2;96;326;913;915;6;141;5;1159;15.28;3.79;13;30;2;0.22
Parlament;2017;5;14;113;83.19;43;220;3.27;16.72;8.59;24;11.55;1.82;33.28;1308;8;152;438;1296;1304;4;258;5;1582;19.6;3.27;14;43;5;0.39
Parlament;2017;5;15;119;79.06;46;199;3.36;17.17;10.27;15;10.35;1.29;34.77;1151;8;120;403;1137;1145;6;189;5;1466;16.31;3.97;15;39;7;0.62
Parlament;2017;5;16;154;80.48;62;271;1.53;18.01;10.23;32;10.3;2.13;34.68;1499;6;155;522;1487;1493;6;262;5;1870;17.41;4.12;16;23;6;0.4
Parlament;2017;5;17;146;86.9;28;183;3.16;16.04;12.8;7;10.87;0.61;30.76;1140;1;124;351;1135;1136;4;255;5;1313;22.35;2.45;17;36;5;0.44
Parlament;2017;5;18;78;84.62;58;163;2.63;19.5;9.33;10;12.8;1.2;30.74;834;2;107;257;828;830;4;132;5;988;15.79;6.94;18;22;1;0.12
Parlament;2017;5;19;127;82.85;9;73;5.68;9.88;17.19;5;10.42;0.68;27.88;739;0;77;206;731;731;8;189;5;892;25.58;1.22;19;42;3;0.41
Parlament;2017;5;20;184;86.48;24;145;5.98;14.44;18.33;13;10.06;1.29;21.81;1003;1;101;219;1001;1002;1;253;5;1161;25.2;2.39;20;60;2;0.2
Parlament;2017;5;21;154;83.53;62;197;3.88;16.97;13.26;7;8.27;0.6;28.68;1154;7;96;333;1140;1147;7;243;5;1390;20.93;5.34;21;45;3;0.26
Parlament;2017;5;22;53;83.06;26;71;4.88;15.74;11.75;3;11.31;0.67;29.27;448;3;51;132;445;448;0;85;5;543;18.85;5.76;22;22;2;0.45
Parlament;2017;5;23;264;85.41;24;122;5.31;10.97;23.74;9;8.81;0.81;17.27;1104;8;98;192;1094;1102;2;324;5;1302;29.14;2.16;23;59;2;0.18
Parlament;2017;5;24;133;84.38;34;171;2.92;17.2;13.38;11;9.86;1.11;28.27;992;2;98;281;988;990;2;228;5;1178;22.94;3.42;24;29;3;0.3
Parlament;2017;5;25;88;86.9;27;138;2.51;18.25;11.64;7;9.92;0.93;31.88;749;7;75;241;738;745;4;143;5;870;18.92;3.57;25;19;0;0
Parlament;2017;5;26;201;88.32;34;95;4.79;10.83;22.92;3;8.32;0.34;21.44;876;1;73;188;872;873;3;236;5;993;26.91;3.88;26;42;0;0
