Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;En Blanc;% En Blanc;ERC;% ERC;ICV;% ICV;PACMA;% PACMA;Pirata;% Pirata;PP;% PP;PSC;% PSC;PxC;% PxC;UPYD;% UPYD;Altres;% Altres
5;23;1195;832;16;11;805;69.62%;337;40.50%;14;1.68%;81;9.74%;78;9.38%;2;0.24%;10;1.20%;100;12.02%;167;20.07%;8;0.96%;6;0.72%;2;0.24%
5;24;1103;765;14;5;746;69.36%;210;27.45%;8;1.05%;35;4.58%;84;10.98%;4;0.52%;2;0.26%;165;21.57%;205;26.80%;21;2.75%;11;1.44%;1;0.13%
5;25;861;610;15;11;584;70.85%;136;22.30%;5;0.82%;22;3.61%;62;10.16%;3;0.49%;4;0.66%;132;21.64%;200;32.79%;12;1.97%;8;1.31%;0;0.00%
5;26;1015;754;12;6;736;74.29%;270;35.81%;19;2.52%;45;5.97%;64;8.49%;6;0.80%;4;0.53%;126;16.71%;180;23.87%;14;1.86%;7;0.93%;1;0.13%
5;27;935;687;20;15;652;73.48%;219;31.88%;17;2.47%;48;6.99%;67;9.75%;6;0.87%;9;1.31%;116;16.89%;154;22.42%;7;1.02%;6;0.87%;3;0.44%
5;28;862;632;17;9;606;73.32%;109;17.25%;14;2.22%;21;3.32%;71;11.23%;4;0.63%;3;0.47%;132;20.89%;216;34.18%;18;2.85%;18;2.85%;0;0.00%
5;29;865;618;12;8;598;71.45%;119;19.26%;10;1.62%;25;4.05%;70;11.33%;4;0.65%;4;0.65%;134;21.68%;192;31.07%;23;3.72%;14;2.27%;3;0.49%
6;1;841;577;10;10;557;68.61%;80;13.86%;3;0.52%;15;2.60%;32;5.55%;4;0.69%;1;0.17%;115;19.93%;268;46.45%;34;5.89%;3;0.52%;2;0.35%
6;2;1132;738;9;7;722;65.19%;150;20.33%;8;1.08%;20;2.71%;72;9.76%;4;0.54%;5;0.68%;161;21.82%;253;34.28%;38;5.15%;9;1.22%;2;0.27%
6;3;1454;934;21;12;901;64.24%;160;17.13%;13;1.39%;25;2.68%;86;9.21%;2;0.21%;8;0.86%;244;26.12%;312;33.40%;41;4.39%;9;0.96%;1;0.11%
6;4;880;559;10;5;544;63.52%;81;14.49%;7;1.25%;8;1.43%;49;8.77%;3;0.54%;4;0.72%;155;27.73%;202;36.14%;26;4.65%;8;1.43%;1;0.18%
6;5;1051;669;12;11;646;63.65%;100;14.95%;8;1.20%;28;4.19%;79;11.81%;2;0.30%;4;0.60%;154;23.02%;226;33.78%;29;4.33%;13;1.94%;3;0.45%
6;6;1121;731;15;17;699;65.21%;95;13.00%;2;0.27%;16;2.19%;86;11.76%;9;1.23%;4;0.55%;204;27.91%;219;29.96%;42;5.75%;21;2.87%;1;0.14%
6;8;1579;1041;14;13;1014;65.93%;285;27.38%;21;2.02%;63;6.05%;92;8.84%;4;0.38%;8;0.77%;165;15.85%;315;30.26%;40;3.84%;16;1.54%;5;0.48%
6;9;844;578;8;8;562;68.48%;127;21.97%;6;1.04%;23;3.98%;57;9.86%;8;1.38%;3;0.52%;112;19.38%;206;35.64%;12;2.08%;6;1.04%;2;0.35%
6;10;1529;1076;24;10;1042;70.37%;186;17.29%;15;1.39%;32;2.97%;101;9.39%;4;0.37%;5;0.46%;228;21.19%;399;37.08%;49;4.55%;14;1.30%;9;0.84%
6;11;1306;715;17;2;696;54.75%;83;11.61%;9;1.26%;18;2.52%;81;11.33%;3;0.42%;2;0.28%;182;25.45%;267;37.34%;32;4.48%;17;2.38%;2;0.28%
6;12;968;621;5;12;604;64.15%;100;16.10%;12;1.93%;19;3.06%;53;8.53%;2;0.32%;7;1.13%;135;21.74%;254;40.90%;15;2.42%;5;0.81%;2;0.32%
6;13;670;468;5;6;457;69.85%;46;9.83%;4;0.85%;14;2.99%;69;14.74%;1;0.21%;3;0.64%;91;19.44%;215;45.94%;11;2.35%;3;0.64%;0;0.00%
6;14;682;405;7;4;394;59.38%;40;9.88%;3;0.74%;8;1.98%;45;11.11%;3;0.74%;3;0.74%;97;23.95%;167;41.23%;14;3.46%;10;2.47%;4;0.99%
