Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;CiU;% CiU;Cs;% Cs;ERC;% ERC;ICV;% ICV;PP;% PP;PACMA;% PACMA;Partido X;% Partido X;Podemos;% Podemos;PSC;% PSC;UPyD;% UPyD;VOX;% VOX;Altres;% Altres
5;8;1410;703;10;3;690;49.86%;177;25.29%;32;4.57%;222;31.71%;62;8.86%;36;5.14%;10;1.43%;15;2.14%;28;4.00%;85;12.14%;3;0.43%;2;0.29%;18;2.57%
5;9;1344;712;14;6;692;52.98%;125;17.71%;59;8.36%;141;19.97%;101;14.31%;71;10.06%;5;0.71%;7;0.99%;45;6.37%;114;16.15%;9;1.27%;2;0.28%;13;1.84%
5;10;1452;643;11;2;630;44.28%;31;4.84%;57;8.89%;61;9.52%;69;10.76%;86;13.42%;15;2.34%;8;1.25%;36;5.62%;207;32.29%;10;1.56%;1;0.16%;49;7.64%
5;11;1474;782;18;3;761;53.05%;131;16.82%;55;7.06%;143;18.36%;102;13.09%;80;10.27%;18;2.31%;19;2.44%;35;4.49%;132;16.94%;19;2.44%;1;0.13%;26;3.34%
5;12;589;287;9;0;278;48.73%;40;13.94%;19;6.62%;60;20.91%;28;9.76%;25;8.71%;4;1.39%;6;2.09%;10;3.48%;70;24.39%;1;0.35%;1;0.35%;14;4.88%
5;13;994;374;5;1;368;37.63%;31;8.31%;42;11.26%;52;13.94%;44;11.80%;25;6.70%;7;1.88%;5;1.34%;25;6.70%;103;27.61%;10;2.68%;0;0.00%;24;6.43%
5;14;1588;798;17;8;773;50.25%;47;5.95%;66;8.35%;110;13.92%;118;14.94%;83;10.51%;15;1.90%;13;1.65%;51;6.46%;191;24.18%;14;1.77%;1;0.13%;64;8.10%
5;15;1495;606;6;8;592;40.54%;49;8.19%;58;9.70%;95;15.89%;67;11.20%;51;8.53%;8;1.34%;4;0.67%;54;9.03%;160;26.76%;4;0.67%;2;0.33%;40;6.69%
5;16;1871;763;20;9;734;40.78%;78;10.34%;67;8.89%;103;13.66%;78;10.34%;93;12.33%;16;2.12%;15;1.99%;41;5.44%;181;24.01%;15;1.99%;0;0.00%;47;6.23%
5;17;1276;561;10;2;549;43.97%;79;14.13%;45;8.05%;123;22.00%;79;14.13%;31;5.55%;8;1.43%;12;2.15%;47;8.41%;79;14.13%;11;1.97%;3;0.54%;32;5.72%
