Elecció;Any;% PxC;Participació;PP;PSC;% ICV;% CUP;% PSC;PACMA;% PACMA;% Cs;NUM_VOTANTS;VOTS_BLANCS;CiU;Cs;VOTS_CANDIDATURES;VOTS_VALIDS;% CiU;VOTS_NULS;ERC;Districte;NUM_ELECTORS;% ERC;PxC;% PP;ICV;Secció;CUP;Altres;% Altres
Parlament;2012;3.97;65.16;108;233;8.28;1.66;38.58;5;0.83;9.11;596;8;52;55;586;594;8.61;2;32;3;927;5.3;24;17.88;50;19;10;17;2.90%
Parlament;2012;0.55;80.91;60;21;5.59;3.41;2.86;0;0;2.73;722;11;369;20;707;718;50.34;4;149;1;906;20.33;4;8.19;41;9;25;18;2.55%
Parlament;2012;3.05;64.55;38;121;11.86;2.03;41.02;0;0;6.78;286;9;22;20;272;281;7.46;5;16;4;457;5.42;9;12.88;35;10;6;5;1.84%
Parlament;2012;7.07;64.5;72;180;7.71;1.07;38.54;0;0;14.13;460;7;43;66;451;458;9.21;2;8;2;724;1.71;33;15.42;36;4;5;8;1.77%
Parlament;2012;6.67;60.29;36;144;8.53;0.53;38.4;3;0.8;8.27;366;9;52;31;356;365;13.87;1;17;2;622;4.53;25;9.6;32;12;2;14;3.93%
Parlament;2012;4.35;67.21;71;187;8.21;0.48;45.17;1;0.24;11.11;412;2;21;46;403;405;5.07;7;15;3;616;3.62;18;17.15;34;16;2;8;1.99%
Parlament;2012;6.08;65.58;39;92;10.22;1.1;25.41;3;0.83;18.78;357;5;44;68;347;352;12.15;5;28;6;552;7.73;22;10.77;37;32;4;10;2.88%
Parlament;2012;0.79;78.91;110;89;4.75;3.37;8.81;1;0.1;1.88;998;12;483;19;978;990;47.82;8;163;1;1280;16.14;8;10.89;48;7;34;23;2.35%
Parlament;2012;2.44;73.84;58;191;14.05;1.68;29.16;5;0.76;14.81;648;7;96;97;633;640;14.66;8;40;5;887;6.11;16;8.85;92;28;11;27;4.27%
Parlament;2012;2.35;63.2;63;150;12.3;3.98;27.12;0;0;11.39;547;6;90;63;536;542;16.27;5;49;3;875;8.86;13;11.39;68;4;22;18;3.36%
Parlament;2012;0.93;67.61;94;210;10.51;2.01;32.46;1;0.15;9.27;636;11;89;60;622;633;13.76;3;63;6;957;9.74;6;14.53;68;12;13;18;2.89%
Parlament;2012;2.8;66.92;71;148;15.49;1.65;24.38;4;0.66;9.39;594;13;96;57;572;585;15.82;9;44;4;907;7.25;17;11.7;94;8;10;31;5.42%
Parlament;2012;3.41;67.23;95;260;13.64;1.89;32.83;3;0.38;13.64;777;15;71;108;761;776;8.96;1;50;6;1178;6.31;27;11.99;108;28;15;24;3.15%
Parlament;2012;0.65;82.26;75;47;5.88;2.61;6.14;5;0.65;4.05;759;6;389;31;750;756;50.85;3;114;4;930;14.9;5;9.8;45;16;20;19;2.53%
Parlament;2012;0.6;80.12;90;139;7.47;2.41;10.48;0;0;3.02;1314;12;633;40;1300;1312;47.74;2;223;1;1655;16.82;8;6.79;99;17;32;36;2.77%
Parlament;2012;1.85;73.18;73;204;11.67;1.42;22.25;4;0.44;14.72;904;13;194;135;883;896;21.16;8;102;5;1253;11.12;17;7.96;107;17;13;34;3.85%
Parlament;2012;4.45;70.66;115;341;10.1;1.39;31.6;4;0.37;6.67;1063;16;138;72;1041;1057;12.79;6;97;6;1527;8.99;48;10.66;109;10;15;102;9.80%
Parlament;2012;6.06;57.24;74;182;10.61;3.18;27.58;2;0.3;9.39;647;13;107;62;629;642;16.21;5;38;6;1153;5.76;40;11.21;70;16;21;33;5.25%
Parlament;2012;2.68;71.41;67;124;14.77;1.57;27.74;2;0.45;8.28;438;9;56;37;426;435;12.53;3;40;1;626;8.95;12;14.99;66;13;7;15;3.52%
