Elecció;Any;CDIS;CSEC;CUSEC;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Comuns Sumar;% Comuns Sumar;Cs;% Cs;ERC;% ERC;Junts;% Junts;PACMA;% PACMA;Podemos;% Podemos;PP;% PP;PSC;% PSC;SALF;% SALF;VOX;% VOX;Altres;% Altres
Europees;2024;05;004;0827905004;5;4;1285;649;7;3;639;50.51%;24;3.72%;2;0.31%;109;16.87%;124;19.20%;7;1.08%;34;5.26%;55;8.51%;204;31.58%;21;3.25%;35;5.42%;24;3.76%
Europees;2024;05;005;0827905005;5;5;794;380;2;2;376;47.86%;24;6.35%;2;0.53%;87;23.02%;66;17.46%;7;1.85%;23;6.08%;31;8.20%;108;28.57%;8;2.12%;14;3.70%;6;1.60%
Europees;2024;05;006;0827905006;5;6;1537;765;5;2;758;49.77%;31;4.06%;0;0.00%;142;18.61%;138;18.09%;15;1.97%;23;3.01%;93;12.19%;227;29.75%;18;2.36%;50;6.55%;21;2.77%
Europees;2024;05;007;0827905007;5;7;882;506;1;1;504;57.37%;22;4.36%;1;0.20%;94;18.61%;133;26.34%;6;1.19%;29;5.74%;51;10.10%;129;25.54%;13;2.57%;21;4.16%;5;0.99%
Europees;2024;05;008;0827905008;5;8;1478;748;3;2;743;50.61%;28;3.75%;0;0.00%;140;18.77%;166;22.25%;12;1.61%;45;6.03%;76;10.19%;211;28.28%;16;2.14%;35;4.69%;14;1.88%
Europees;2024;05;009;0827905009;5;9;1360;695;4;2;689;51.10%;32;4.62%;6;0.87%;80;11.54%;107;15.44%;4;0.58%;52;7.50%;93;13.42%;253;36.51%;17;2.45%;32;4.62%;13;1.89%
Europees;2024;05;010;0827905010;5;10;985;388;0;1;387;39.39%;19;4.91%;4;1.03%;30;7.75%;23;5.94%;5;1.29%;15;3.88%;45;11.63%;192;49.61%;4;1.03%;35;9.04%;15;3.88%
Europees;2024;05;011;0827905011;5;11;1405;678;6;1;671;48.26%;30;4.43%;3;0.44%;99;14.62%;105;15.51%;9;1.33%;24;3.55%;87;12.85%;239;35.30%;18;2.66%;40;5.91%;17;2.53%
Europees;2024;05;012;0827905012;5;12;591;263;1;1;261;44.50%;19;7.25%;1;0.38%;41;15.65%;39;14.89%;7;2.67%;12;4.58%;26;9.92%;80;30.53%;13;4.96%;18;6.87%;5;1.92%
Europees;2024;05;013;0827905013;5;13;1360;449;6;2;441;33.01%;9;2.01%;0;0.00%;49;10.96%;34;7.61%;9;2.01%;16;3.58%;47;10.51%;153;34.23%;26;5.82%;84;18.79%;14;3.17%
