Elecció;Any;Districte;Secció;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;PSC;% PSC;CiU;% CiU;PP;% PP;ICV;% ICV;ERC;% ERC;EUiA;% EUiA;Verds;% Verds;Altres;% Altres
Municipals;1999;6;16;1122;500;14;2;484;44.56%;297;59.64%;54;10.84%;48;9.64%;26;5.22%;24;4.82%;24;4.82%;7;1.41%;4;0.80%
Municipals;1999;6;18;650;318;1;4;313;48.92%;216;68.79%;14;4.46%;34;10.83%;29;9.24%;3;0.96%;15;4.78%;2;0.64%;0;0.00%
Municipals;1999;6;19;605;314;5;0;309;51.90%;203;64.65%;34;10.83%;28;8.92%;23;7.32%;5;1.59%;7;2.23%;9;2.87%;0;0.00%
Municipals;1999;6;20;656;306;6;0;300;46.65%;148;48.37%;30;9.80%;42;13.73%;38;12.42%;16;5.23%;15;4.90%;11;3.59%;0;0.00%
Municipals;1999;6;21;528;281;5;0;276;53.22%;173;61.57%;14;4.98%;39;13.88%;24;8.54%;8;2.85%;15;5.34%;3;1.07%;0;0.00%
Municipals;1999;6;22;479;226;1;0;225;47.18%;151;66.81%;23;10.18%;15;6.64%;15;6.64%;4;1.77%;8;3.54%;8;3.54%;1;0.44%
Municipals;1999;6;23;2062;898;7;4;887;43.55%;520;58.17%;71;7.94%;109;12.19%;96;10.74%;13;1.45%;32;3.58%;44;4.92%;2;0.22%
Municipals;1999;6;24;1712;738;8;2;728;43.11%;408;55.43%;39;5.30%;100;13.59%;77;10.46%;13;1.77%;59;8.02%;27;3.67%;5;0.68%
Municipals;1999;6;25;1628;724;13;1;710;44.47%;481;66.53%;40;5.53%;80;11.07%;48;6.64%;6;0.83%;21;2.90%;33;4.56%;1;0.14%
Municipals;1999;6;26;816;375;1;4;370;45.96%;241;64.96%;21;5.66%;36;9.70%;30;8.09%;10;2.70%;31;8.36%;0;0.00%;1;0.27%
Municipals;1999;6;27;1163;547;0;7;540;47.03%;360;66.67%;27;5.00%;57;10.56%;67;12.41%;3;0.56%;13;2.41%;12;2.22%;1;0.19%
