Elecció;Any;Districte;Secció;CUSEC;NUM_ELECTORS;NUM_VOTANTS;VOTS_BLANCS;VOTS_NULS;VOTS_CANDIDATURES;Participació;Cs;% Cs;CiU;% CiU;CUP;% CUP;ERC;% ERC;PP;% PP;PSC;% PSC;PxC;% PxC;En Comú;% En Comú;Altres;% Altres
Municipals;2015;4;13;8279804013;1199;710;2;2;706;59,05%;39;5,51%;138;19,49%;56;7,91%;149;21,05%;35;4,94%;155;21,89%;8;1,13%;119;16,81%;7;0.0099
Municipals;2015;4;14;8279804014;969;625;10;1;614;64,40%;45;7,21%;171;27,40%;42;6,73%;183;29,33%;30;4,81%;85;13,62%;4;0,64%;47;7,53%;7;0.0114
Municipals;2015;4;15;8279804015;824;513;11;2;500;62,01%;16;3,13%;190;37,18%;49;9,59%;127;24,85%;27;5,28%;51;9,98%;0;0,00%;33;6,46%;7;0.0140
Municipals;2015;4;16;8279804016;945;634;9;5;620;66,56%;32;5,09%;213;33,86%;67;10,65%;121;19,24%;49;7,79%;67;10,65%;3;0,48%;58;9,22%;10;0.0161
Municipals;2015;4;17;8279804017;1117;718;9;1;708;64,19%;48;6,69%;157;21,90%;70;9,76%;168;23,43%;35;4,88%;148;20,64%;5;0,70%;71;9,90%;6;0.0085
Municipals;2015;4;18;8279804018;1853;1099;18;5;1076;59,04%;95;8,68%;167;15,27%;100;9,14%;183;16,73%;49;4,48%;281;25,69%;15;1,37%;177;16,18%;9;0.0084
Municipals;2015;4;19;8279804019;903;498;5;2;491;54,93%;65;13,10%;36;7,26%;28;5,65%;52;10,48%;25;5,04%;129;26,01%;13;2,62%;136;27,42%;7;0.0143
Municipals;2015;4;20;8279804020;554;250;3;1;246;44,95%;24;9,64%;3;1,20%;2;0,80%;11;4,42%;21;8,43%;138;55,42%;9;3,61%;33;13,25%;5;0.0203
Municipals;2015;4;21;8279804021;760;379;2;2;375;49,61%;46;12,20%;10;2,65%;15;3,98%;25;6,63%;26;6,90%;131;34,75%;20;5,31%;98;25,99%;4;0.0107
Municipals;2015;4;22;8279804022;1589;795;13;2;780;49,91%;128;16,14%;36;4,54%;24;3,03%;90;11,35%;32;4,04%;253;31,90%;10;1,26%;196;24,72%;11;0.0141
Municipals;2015;4;23;8279804023;1541;811;6;6;799;52,24%;127;15,78%;40;4,97%;24;2,98%;74;9,19%;40;4,97%;235;29,19%;27;3,35%;225;27,95%;7;0.0088
Municipals;2015;4;24;8279804024;1519;765;10;2;753;50,23%;125;16,38%;44;5,77%;30;3,93%;70;9,17%;53;6,95%;218;28,57%;20;2,62%;181;23,72%;12;0.0159
Municipals;2015;4;25;8279804025;900;486;3;0;483;54,00%;50;10,29%;58;11,93%;16;3,29%;57;11,73%;29;5,97%;138;28,40%;5;1,03%;124;25,51%;6;0.0124
Municipals;2015;4;26;8279804026;1046;641;9;0;632;61,28%;30;4,68%;191;29,80%;51;7,96%;139;21,68%;32;4,99%;122;19,03%;3;0,47%;61;9,52%;3;0.0047
Municipals;2015;5;1;8279805001;1508;846;4;1;841;56,03%;124;14,67%;78;9,23%;36;4,26%;141;16,69%;51;6,04%;225;26,63%;21;2,49%;147;17,40%;18;0.0214
Municipals;2015;5;2;8279805002;1103;576;9;3;564;51,95%;62;10,82%;23;4,01%;20;3,49%;29;5,06%;48;8,38%;217;37,87%;9;1,57%;137;23,91%;19;0.0337
Municipals;2015;5;3;8279805003;1479;816;8;6;802;54,77%;70;8,64%;161;19,88%;62;7,65%;144;17,78%;34;4,20%;188;23,21%;11;1,36%;124;15,31%;8;0.0100
Municipals;2015;5;4;8279805004;1165;692;8;5;679;58,97%;62;9,02%;98;14,26%;57;8,30%;137;19,94%;21;3,06%;181;26,35%;3;0,44%;112;16,30%;8;0.0118
Municipals;2015;5;5;8279805005;789;435;4;3;428;54,75%;38;8,80%;54;12,50%;37;8,56%;100;23,15%;16;3,70%;85;19,68%;2;0,46%;90;20,83%;6;0.0140
Municipals;2015;5;6;8279805006;1565;917;21;6;890;58,21%;65;7,14%;173;18,99%;75;8,23%;186;20,42%;38;4,17%;210;23,05%;19;2,09%;119;13,06%;5;0.0056
Municipals;2015;5;7;8279805007;891;586;10;3;573;65,43%;47;8,06%;102;17,50%;49;8,40%;160;27,44%;19;3,26%;91;15,61%;4;0,69%;90;15,44%;11;0.0192
Municipals;2015;5;8;8279805008;1432;813;7;3;803;56,56%;57;7,04%;150;18,52%;72;8,89%;176;21,73%;45;5,56%;167;20,62%;5;0,62%;117;14,44%;14;0.0174
Municipals;2015;5;9;8279805009;1358;810;1;0;809;59,65%;59;7,28%;106;13,09%;39;4,81%;116;14,32%;44;5,43%;259;31,98%;5;0,62%;166;20,49%;15;0.0185
Municipals;2015;5;10;8279805010;1453;796;5;3;788;54,58%;89;11,22%;38;4,79%;15;1,89%;53;6,68%;65;8,20%;345;43,51%;12;1,51%;166;20,93%;5;0.0063
Municipals;2015;5;11;8279805011;1478;858;19;3;836;57,85%;87;10,18%;89;10,41%;47;5,50%;122;14,27%;53;6,20%;260;30,41%;13;1,52%;151;17,66%;14;0.0167
Municipals;2015;5;12;8279805012;590;336;8;0;328;56,95%;26;7,74%;26;7,74%;18;5,36%;37;11,01%;20;5,95%;119;35,42%;3;0,89%;76;22,62%;3;0.0091
Municipals;2015;5;13;8279805013;1015;508;7;1;500;49,95%;76;14,99%;17;3,35%;21;4,14%;47;9,27%;27;5,33%;154;30,37%;12;2,37%;140;27,61%;6;0.0120
Municipals;2015;5;14;8279805014;1590;869;8;7;854;54,21%;104;12,06%;40;4,64%;33;3,83%;77;8,93%;59;6,84%;339;39,33%;9;1,04%;180;20,88%;13;0.0152
Municipals;2015;5;15;8279805015;1466;667;4;3;660;45,29%;64;9,64%;32;4,82%;28;4,22%;63;9,49%;42;6,33%;266;40,06%;10;1,51%;149;22,44%;6;0.0091
Municipals;2015;5;16;8279805016;1909;943;11;2;930;49,29%;107;11,37%;66;7,01%;28;2,98%;70;7,44%;61;6,48%;299;31,77%;22;2,34%;263;27,95%;14;0.0151
Municipals;2015;5;17;8279805017;1281;732;18;2;712;56,99%;99;13,56%;65;8,90%;40;5,48%;99;13,56%;26;3,56%;210;28,77%;11;1,51%;145;19,86%;17;0.0239
